Имя,Изображения,Цена,Производитель,Артикул,Короткое описание,Категории,Исходный адрес
Подставка для палочек ACCS01,http://rakporcelain.com/products/productbig_737_1432123726ACCS01.png,352,RAK (Арабские Эмираты),ACCS01,Размер: 6 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_833/
Подставка для яйца OPEG01,http://rakporcelain.com/products/productbig_748_1432126481OPEG01.png,246,RAK (Арабские Эмираты),OPEG01,"
							Размеры: 5 × 5 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_856/
Розетка OPAB06,http://rakporcelain.com/products/productbig_746_1432126298OPAB06.png,192,RAK (Арабские Эмираты),OPAB06,Размер: 6 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_851/
Розетка OPSP06,http://rakporcelain.com/products/productbig_695_1432037745OPSP45.png,298,RAK (Арабские Эмираты),OPSP06,"
								Размеры: 6 × 6 × 2 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_874/
Розетка OPSP08,http://rakporcelain.com/products/productbig_699_1432109604OPSP08.png,323,RAK (Арабские Эмираты),OPSP08,"
							Размеры: 8 × 8 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/9681/
Розетка квадратная OPSB04,http://rakporcelain.com/products/productbig_749_1432126573OPSB04.png,192,RAK (Арабские Эмираты),OPSB04,"
								Размеры: 4 × 4 × 2 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_870/
Розетка квадратная OPSB07,http://rakporcelain.com/products/productbig_702_1432110033OPSB04.png,246,RAK (Арабские Эмираты),OPSB07,"
								Размеры: 7 × 7 × 4 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/9673/
Розетка квадратная OPSB08,http://rakporcelain.com/products/productbig_702_1432110033OPSB04.png,291,RAK (Арабские Эмираты),OPSB08,"
								Размеры: 8 × 8 × 4 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/9674/
Розетка квадратная OPSB09,http://rakporcelain.com/products/productbig_702_1432110033OPSB04.png,307,RAK (Арабские Эмираты),OPSB09,"
								Размеры: 9 × 9 × 5 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/9675/
Розетка треугольная MNTD01,http://rakporcelain.com/products/productbig_744_1432125992MNTD01.png,445,RAK (Арабские Эмираты),MNTD01,"
							Размеры: 7 × 6 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_846/
Салатник NAMB16,http://rakporcelain.com/products/productbig_693_1432037540NAMB37.png,493,RAK (Арабские Эмираты),NAMB16,Размер: 16 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_850/
Салатник NAMB27,http://rakporcelain.com/products/productbig_693_1432037540NAMB37.png,1 645,RAK (Арабские Эмираты),NAMB27,Размер: 27 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/9676/
Салатник OPNB15,http://rakporcelain.com/products/productbig_717_1432120174OPNB15.png,922,RAK (Арабские Эмираты),OPNB15,"
							Размеры: 15 × 15 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_858/
Салатник OPSB12,http://rakporcelain.com/products/productbig_702_1432110033OPSB04.png,678,RAK (Арабские Эмираты),OPSB12,"
								Размеры: 12 × 12 × 4 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_871/
Салатник NAMB31,http://rakporcelain.com/products/productbig_693_1432037540NAMB37.png,2 454,RAK (Арабские Эмираты),NAMB31,Размер: 31 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/9677/
Салатник OPSB15,http://rakporcelain.com/products/productbig_702_1432110033OPSB04.png,880,RAK (Арабские Эмираты),OPSB15,"
								Размеры: 15 × 15 × 7 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/9679/
Салатник NAMB37,http://rakporcelain.com/products/productbig_693_1432037540NAMB37.png,2 851,RAK (Арабские Эмираты),NAMB37,"
37см., 120 cl.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/NAMB37/
Салатник OPSB20,http://rakporcelain.com/products/productbig_702_1432110033OPSB04.png,2 320,RAK (Арабские Эмираты),OPSB20,"
								Размеры: 20 × 20 × 7 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/OPSB20/
Салатник овальная MNSB44,http://rakporcelain.com/products/productbig_706_1432110679MNSB68.png,832,RAK (Арабские Эмираты),MNSB44,"
23х13h=5.5см., 44 cl. 
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/MNSB44/
Салатник овальный MNOD05,http://rakporcelain.com/products/productbig_743_1432125852MNOD05.png,230,RAK (Арабские Эмираты),MNOD05,"
 7.3 х 4.5см., 3 cl. 
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/MNOD05/
Салатник овальный MNSB68,http://rakporcelain.com/products/productbig_706_1432110679MNSB68.png,925,RAK (Арабские Эмираты),MNSB68,"
 22.5х13.5h=8см., 68 cl. 
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/MNSB68/
Салатник овальный MNOD09,http://rakporcelain.com/products/productbig_707_1432111005MNOD05.png,330,RAK (Арабские Эмираты),MNOD09,"
14.8х8.5см., 11 cl.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/MNOD09/
Салатник овальный MNSB32,http://rakporcelain.com/products/productbig_706_1432110679MNSB68.png,448,RAK (Арабские Эмираты),MNSB32,"
17х10.5h=6.5см., 32 cl. 
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/MNSB32/
Салатник овальный MNSB34,http://rakporcelain.com/products/productbig_706_1432110679MNSB68.png,739,RAK (Арабские Эмираты),MNSB34,"
21х12h=5.2см., 34 cl.
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/MNSB34/
Сковорода фарфоровая с ручкой NAMP01,http://posuda-mix.ru/upload/shop_1/2/1/3/item_2137/shop_items_catalog_image2137.jpg,359,RAK (Арабские Эмираты),NAMP01,"
10 см, d=6,2 см
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_844/
Сливочник-молочник OPCR09M,http://rakporcelain.com/products/productbig_753_1432127035OPCR09M.png,336,RAK (Арабские Эмираты),OPCR09M,"
 0.09 л
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/OPCR09M/
Солонка OPSS01,http://rakporcelain.com/products/productbig_734_1432122846OPSS01.png,445,RAK (Арабские Эмираты),OPSS01,,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_877/
Соусник ACSY01,http://rakporcelain.com/products/productbig_728_1432122252ACSY01.png,797,RAK (Арабские Эмираты),ACSY01,Высота: 9 см,Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_840/
Соусник - молочник OPSD03,http://rakporcelain.com/products/productbig_739_1432125417OPSD03.png,381,RAK (Арабские Эмираты),OPSD03,"
5х5, h=6см, 0.08л. 
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/OPSD03/
Соусник для соуса/масла ACOV01,http://rakporcelain.com/products/productbig_729_1432122401ACOV01.png,1 523,RAK (Арабские Эмираты),ACOV01,"
200 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_835/
Соусник квадратный ACSD01,http://rakporcelain.com/products/productbig_741_1432125644ACSD01.png,269,RAK (Арабские Эмираты),ACSD01,"
								Размеры: 8 × 8 × 3 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_838/
Соусник квадратный MNSD01,http://rakporcelain.com/products/productbig_745_1432126211mnsd01.png,445,RAK (Арабские Эмираты),MNSD01,"
								Размеры: 6 × 6 × 3 см",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_845/
Соусник маленький OPCU05,http://rakporcelain.com/products/productbig_747_1432126370OPCU05.png,230,RAK (Арабские Эмираты),OPCU05,"
50 мл
",Фарфоровая посуда > RAK Porcelain (ОАЭ) > Без декора >  Minimax,http://posuda-mix.ru/shop/farfor/RAK/Bez_dekora/group_638/item_855/
